"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1342600","20333063"
"2","Total No. of patients tested Positive","17636","778196"
"3","No. of patients discharged","14734","755009"
"4","Total Deaths reported","104","20409"
"5","Sample collected on the day","","11540"
"6","Test conducted on the day","","11318"
"7","Positive cases on the day","","435"
"8","Number of active Cases","","2778"
"9","No. of Patients on oxygen support","","86"
"10","Patients at critical care Level-3 facilities","","22"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218825"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117782"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211626"
"18","Frontline Workers vaccinated with 2nd dose on the day","","31"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017960"
"20","Above 45 Vaccinated with 1st dose on the day","","203"
"21","Total Above 45 Vaccinated with 1st dose","","8339558"
"22","Above 45 Vaccinated with 2nd dose on the day","","2453"
"23","Total Above 45 Vaccinated with 2nd dose","","7610630"
"24","18-44 years age group Vaccinated with 1st dose on the day","","569"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12636854"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4715"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10590958"
"28","15-17 years age group Vaccinated with 1st dose on the day","","261"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1105539"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","796"
"31","Total 15-17 years age group Vaccinated with 2nddose","","835913"
"32","12-14 years age group Vaccinated with 1st dose on the day","","695"
"33","Total 12-14 years age group Vaccinated with 1st dose","","651923"
"34","12-14 years age group Vaccinated with 2nddose on the day","","990"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","439977"
"36","Precautionary dose given on the day","","16123"
"37","Total Precautionary dose given","","1271251"
"38","Total Vaccination 1st dose on the day","","777"
"39","Total Vaccination 2nd dose on the day","","7203"
"40","Total Vaccination 1st and 2nd dose on the day","","7980"
