"Total No. of Sample Taken Today","11226"
"Total No. of Positive Cases Detected Today","160"
"Total Active COVID-19 Patients","1049"
"Total No. of Active Cases under Home Isolation (03-09-2022)","967"
"Total No. of Samples found Positive till date","1052730"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1040972"
"No. of Deaths","10686"
"Total No. of People Vaccinated Today","9000 
(1st Dose: 720 
2nd Dose: 1886 
Precaution Dose: 6394)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23650330 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19766950 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1786861"
"Cumulative Coverage of Total COVID-19 Vaccination","45204141"
"COVID-19 Today (03-09-2022) Positivity Rate","1.35%"
"Recovery Rate","98.88%"
"Fatality Rate","1.02%"
