"S. No","Subject","Number"
"1","Total Number of people vaccinated on 1st Feb","6,08,868"
"2","First Dose on 1st Feb","67,669"
"3","Second Dose on 1st Feb","4,77,816"
"4","Precaution Dose on 1st Feb","63,383"
"5","Cumulative Vaccination till 1st Feb","12,07,21,619"
"6","Cumulative Vaccination First Dose","6,90,41,008"
"7","Cumulative Vaccination Second Dose","5,07,55,182"
"8","Cumulative Precaution Dose","9,25,429"
"9","Number of CVC (Common Vaccination Centres)","5,907"
"10","Cumulative AEFI cases reported","6,760"
"11","Vaccine wastage","-7%"
