"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","743663","102","48833","1","433","344","47327","1073"
"2","ALWAR","1467750","167","83572","0","319","417","81617","1636"
"3","BANSWARA","288749","40","13807","0","106","148","12960","741"
"4","BARAN","209848","47","14944","0","63","122","14372","509"
"5","BARMER","388440","15","21297","0","198","53","20718","381"
"6","BHARATPUR","453112","29","31033","0","270","168","30252","511"
"7","BHILWARA","478280","86","37710","0","161","153","36351","1198"
"8","BIKANER","687718","164","49164","1","575","145","47994","595"
"9","BUNDI","214861","28","9618","0","54","74","9314","250"
"10","CHITTORGARH","434370","69","29080","0","140","0","28764","176"
"11","CHURU","396405","83","20343","0","113","138","19728","502"
"12","DAUSA","262481","14","15638","0","75","22","15324","239"
"13","DHOLPUR","263321","23","13583","0","49","74","13239","295"
"14","DUNGARPUR","318976","67","25230","0","134","205","24561","535"
"15","GANGANAGAR","396874","166","27351","0","156","509","25677","1518"
"16","HANUMANGARH","463775","61","22076","0","114","250","21432","530"
"17","JAIPUR","3090262","804","266959","6","2093","1941","257142","7724"
"18","JAISALMER","235366","62","16705","0","68","144","16194","443"
"19","JALORE","427629","0","10495","0","77","13","10360","58"
"20","JHALAWAR","348549","51","17313","1","202","45","16858","253"
"21","JHUNJHUNU","458951","93","18477","1","177","146","17566","734"
"22","JODHPUR","1329982","252","139155","0","1156","503","136153","1846"
"23","KARAULI","220109","29","8635","0","83","28","8361","191"
