"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,174"
"2","Number of persons tested positive today in Tamil Nadu","1,061"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1"
"","Total","1,063"
"3","Total Number of persons tested positive till date","34,64,131"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","22,946/ 
6,69,67,366@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","22,757/ 
6,57,88,717"
"6","No. of Male / Female / Transgender tested positive today","510/553/0"
"7","No. of Male / Female / Transgender tested positive till date","20,21,195/14,42,898/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","567/ 
34,20,931"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
