"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17697","","3630","","21327",""
"2","Total Active Cases","219 
(1.24%)","","11 
(0.30%)","","230 
(1.1%)",""
"3","Total Cured/ Discharged","17324 
(97.89%)","","3561                                  
(98.1%)","","(97.93%)",""
"4","Total Died","154 
(0.87%)","","58 
(1.6%)","","212 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","24","","00","","24",""
"6","Total Positive cases in Home Isolation","164","","11","","175",""
"7","COVID Care Centre","14","","0","","14",""
"8","Facility Isolation","17","","0","","17",""
"9","No. of Samples Tested (Today)","237","","255","","492",""
"10","No. of Samples Positive (Today)","16","","00","","16",""
"11","No. of Samples Negative (Today)","221","","255","","476",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","134 
           00 
      00 
           17 
         151"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(20/11/2021)","","Test Done Today 
(21/11/2021)","","Cumulative"
"","","a)  RTPCR","222545","","455","","223000"
"","","b)  TRUENAT","11031","","00","","11031"
"","","c)  RAT","330110","","37","","330147"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","563833","","492","","564325"
