,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Bagalkote,0,0,1,,1442,3961,0,2.0,1.0,0.0,1.0,,21962.0,72842.0,0,1890826,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,35186.0,333.0,34849.0,,1370021,1088164,0,0.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
1,1,1,1,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Ballari,1,0,1,,715,4766,0,20.0,8.0,0.0,25.0,,14496.0,82540.0,0,2532383,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,97842.0,1687.0,96049.0,,2000139,1380655,0,0.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
2,2,2,2,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Belagavi,4,0,4,,2678,14026,0,27.0,38.0,0.0,29.0,,22158.0,166240.0,0,4778439,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,80083.0,946.0,79046.0,,3513537,2689089,0,0.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
3,3,3,3,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Bengaluru Rural,0,0,2,,521,1558,0,19.0,4.0,0.0,18.0,,7493.0,24888.0,0,987257,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,62132.0,892.0,61216.0,,759232,627714,0,0.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
4,4,4,4,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Bengaluru Urban,204,0,171,,8544,29022,0,1423.0,1298.0,8.0,1105.0,,69581.0,235360.0,0,9588910,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,1260481.0,16378.0,1238411.0,,9680860,7783998,0,1.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
5,5,5,5,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Bidar,0,0,0,,4592,7989,0,1.0,0.0,0.0,0.0,,46836.0,71208.0,0,1700018,,,4.0 cases were recorded as Deaths due to Non Covid Reasons,24351.0,404.0,23943.0,,1194801,866291,0,4.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
6,6,6,6,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Chamarajanagara,4,0,3,,933,2170,0,32.0,9.0,0.0,15.0,,12101.0,26641.0,0,1020962,,,11.0 cases were recorded as Deaths due to Non Covid Reasons,33115.0,503.0,32586.0,,744180,560498,0,11.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
7,7,7,7,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Chikkaballapura,1,1,1,,493,1597,0,10.0,1.0,1.0,5.0,,6576.0,34686.0,0,1254377,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,43992.0,432.0,43557.0,,940946,705344,0,1.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
8,8,8,8,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Chikkamagaluru,1,0,10,,316,1665,0,129.0,29.0,0.0,156.0,,5943.0,27131.0,0,1137753,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,51442.0,398.0,50980.0,,782881,586164,0,0.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
9,9,9,9,2021-12-21,KA,295.0,5.0,290.0,75639,52162,203292,0,2551.0,2010.0,20.0,2081.0,759978.0,477919.0,1826361.0,0.0,Chitradurga,4,0,4,,903,3049,0,13.0,13.0,1.0,16.0,,10616.0,47025.0,0,1660378,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,36762.0,210.0,36518.0,,1217493,891290,0,0.0,2022-01-22T01:34:08.825695+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,3002944.0,38295.0,2957546.0,55487150.0,47193016,36124209,0,29.0,0.0,0.0
