"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","413","9","0","1","44"
"2","ALWAR","992","8","0","9","29"
"3","BANSWARA","78","0","0","0","6"
"4","BARAN","200","0","0","0","2"
"5","BARMER","37","0","0","0","0"
"6","BHARATPUR","13","0","0","0","1"
"7","BHILWARA","139","0","0","0","6"
"8","BIKANER","400","2","0","3","15"
"9","BUNDI","98","0","0","2","7"
"10","CHITTORGARH","175","2","0","3","17"
"11","CHURU","104","0","0","0","0"
"12","DAUSA","465","0","0","0","4"
"13","DHOLPUR","110","0","0","0","0"
"14","DUNGARPUR","46","0","0","3","7"
"15","GANGANAGAR","104","1","0","1","2"
"16","HANUMANGARH","151","0","0","0","0"
"17","JAIPUR","1173","5","0","16","82"
"18","JAISALMER","27","0","0","0","0"
"19","JALORE","59","0","0","0","2"
"20","JHALAWAR","471","0","0","0","2"
"21","JHUNJHUNU","351","0","0","0","0"
"22","JODHPUR","210","2","0","12","27"
"23","KARAULI","225","0","0","0","1"
"24","KOTA","820","4","0","10","50"
"25","NAGAUR","240","2","0","0","4"
"26","PALI","381","0","0","0","8"
