"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,987"
"2","Number of persons tested positive today in Tamil Nadu","1,210"
"","Passengers returned from other countries  by 
International airport tested positive today","Canada-1"
"","Total","1,211"
"3","Total Number of persons tested positive till date","35,49,406"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,557/ 
6,82,63,311@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,018/ 
6,70,58,176"
"6","No. of Male / Female / Transgender tested positive today","725/486/0"
"7","No. of Male / Female / Transgender tested positive till date","20,69,611/14,79,757/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","346 (77 Govt+ 
269$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,616/ 
35,00,386"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,033"
