"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229259","223325","5894","40"
"12","Nashik","478664","469610","8918","136"
"13","Ahmednagar","380802","373466","7251","85"
"14","Jalgaon","150226","147448","2762","16"
"15","Nandurbar","46982","46013","963","6"
"16","Dhule","51450","50778","670","2"
"17","Aurangabad","178723","174400","4288","35"
"18","Jalna","67542","66293","1226","23"
"19","Beed","109720","106827","2889","4"
"20","Latur","106498","103950","2489","59"
"21","Parbhani","58801","57516","1281","4"
"22","Hingoli","22456","21934","517","5"
"23","Nanded","103308","100599","2705","4"
"24","Osmanabad","76819","74642","2139","38"
"25","Amravati","107047","105389","1626","32"
"26","Akola","67002","65499","1476","27"
"27","Washim","47446","46748","641","57"
"28","Buldhana","93174","92327","839","8"
"29","Yavatmal","82644","80818","1820","6"
"30","Nagpur","585881","576520","9226","135"
"31","Wardha","66353","64938","1410","5"
"32","Bhandara","69893","68737","1142","14"
"33","Gondia","46001","45404","588","9"
"34","Chandrapur","100115","98485","1598","32"
