"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","465","2","0","12","24"
"2","ALWAR","1001","4","0","8","17"
"3","BANSWARA","63","0","0","0","0"
"4","BARAN","157","0","0","1","2"
"5","BARMER","22","0","0","0","0"
"6","BHARATPUR","22","1","0","0","2"
"7","BHILWARA","162","0","0","0","1"
"8","BIKANER","383","2","0","0","8"
"9","BUNDI","100","0","0","2","1"
"10","CHITTORGARH","182","1","0","1","9"
"11","CHURU","105","0","0","0","0"
"12","DAUSA","447","0","0","2","2"
"13","DHOLPUR","235","0","0","0","0"
"14","DUNGARPUR","33","3","0","1","4"
"15","GANGANAGAR","83","0","0","0","2"
"16","HANUMANGARH","285","0","0","0","0"
"17","JAIPUR","1060","9","0","13","66"
"18","JAISALMER","17","0","0","0","0"
"19","JALORE","86","0","0","1","4"
"20","JHALAWAR","226","0","0","0","1"
"21","JHUNJHUNU","262","0","0","0","0"
"22","JODHPUR","180","7","0","8","23"
"23","KARAULI","297","0","0","0","1"
"24","KOTA","836","6","0","4","33"
"25","NAGAUR","218","1","0","2","2"
"26","PALI","377","4","0","0","15"
