"Total No. of Sample Taken Today","39144"
"Total No. of Positive Cases Detected Today","35"
"Total Positive Cases under Home Isolation (08-12-2021)","168"
"Total No. of Samples Sent till date","13890093"
"Total No. of Samples found Positive till date","771939 
(M: 471655 
F: 300267 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761648"
"Total Active COVID-19 Patients","213"
"No. of Deaths","10055"
"Total No. of People Vaccinated today","155811 
(1st Dose: 32083, 
2nd Dose: 123728"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","18872157 (92%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","11035036 (54%)"
"Cumulative Coverage of Total COVID-19 Vaccination","29907193"
"COVID-19 Today (09-12-2021) Positivity Rate","0.09%"
"COVID-19 Cumulative Positivity Rate","5.57%"
"Recovery Rate","98.67%"
"Fatality Rate","1.30%"
"Tests Per Million Population","547933"
