"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","788114","4","49775","0","447","0","49301","27"
"2","ALWAR","1610219","9","84643","0","320","10","84277","46"
"3","BANSWARA","318263","0","14765","0","106","0","14659","0"
"4","BARAN","236279","8","15296","0","64","2","15197","35"
"5","BARMER","403633","0","21455","0","205","0","21249","1"
"6","BHARATPUR","476267","0","31451","0","272","0","31179","0"
"7","BHILWARA","507215","0","38183","0","162","0","38019","2"
"8","BIKANER","743215","0","49942","0","586","2","49340","16"
"9","BUNDI","234255","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452139","2","29387","0","140","0","29240","7"
"11","CHURU","434381","7","20843","0","114","0","20717","12"
"12","DAUSA","292000","3","15821","1","81","3","15725","15"
"13","DHOLPUR","285046","5","13953","0","49","4","13892","12"
"14","DUNGARPUR","327751","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422642","0","28149","0","158","0","27985","6"
"16","HANUMANGARH","488471","0","22518","0","114","0","22404","0"
"17","JAIPUR","3420169","62","275958","0","2113","0","273522","323"
"18","JAISALMER","242449","0","17036","0","68","0","16968","0"
"19","JALORE","445275","1","10547","0","78","0","10468","1"
"20","JHALAWAR","396236","4","17732","0","207","0","17511","14"
"21","JHUNJHUNU","492545","0","19158","0","181","0","18977","0"
"22","JODHPUR","1421919","3","141125","0","1164","0","139945","16"
"23","KARAULI","238437","0","8968","0","84","0","8884","0"
