"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","795115","7","49980","0","447","0","49441","92"
"2","ALWAR","1625704","0","84883","0","321","12","84525","37"
"3","BANSWARA","321914","2","14780","0","106","0","14667","7"
"4","BARAN","241217","0","15311","0","64","0","15247","0"
"5","BARMER","405596","0","21464","0","205","0","21252","7"
"6","BHARATPUR","476353","0","31452","0","272","0","31179","1"
"7","BHILWARA","509626","9","38251","0","162","0","38060","29"
"8","BIKANER","756506","3","50280","0","589","22","49594","97"
"9","BUNDI","236631","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454321","3","29430","0","140","0","29276","14"
"11","CHURU","437194","0","20938","0","115","0","20799","24"
"12","DAUSA","296569","0","15879","0","81","1","15794","4"
"13","DHOLPUR","288940","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328044","0","25501","0","134","0","25365","2"
"15","GANGANAGAR","423390","0","28179","0","158","0","28012","9"
"16","HANUMANGARH","489325","0","22529","0","115","0","22410","4"
"17","JAIPUR","3471215","49","277350","0","2114","15","274826","410"
"18","JAISALMER","242903","0","17036","0","68","0","16968","0"
"19","JALORE","447793","2","10566","0","78","0","10481","7"
"20","JHALAWAR","411289","0","17763","0","207","0","17555","1"
"21","JHUNJHUNU","493861","0","19161","0","181","0","18979","1"
"22","JODHPUR","1432596","13","141417","0","1164","12","140148","105"
"23","KARAULI","242562","0","8968","0","84","0","8884","0"
"24","KOTA","1133057","0","70127","0","477","0","69649","1"
"25","NAGAUR","651004","8","23756","0","201","1","23533","22"
"26","PALI","462495","0","35853","0","298","0","35555","0"
"27","PRATAPGARH","278038","0","11881","0","65","0","11813","3"
"28","RAJSAMAND","302145","0","23050","0","178","0","22863","9"
"29","SAWAI MADHOPUR","278831","0","15823","0","66","0","15756","1"
