"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,732"
"2","Number of persons tested positive today in Tamil Nadu","559"
"","Passengers returned from other states  by Road tested 
positive today","Bihar-1"
"","Total","560"
"3","Total Number of persons tested positive till date","35,64,473"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,161/ 
6,87,27,972@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","19,938/ 
6,75,16,065"
"6","No. of Male / Female / Transgender tested positive today","328/232/0"
"7","No. of Male / Female / Transgender tested positive till date","20,78,629/14,85,806/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","670/ 
35,20,708"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
