"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1789486*","20779950*"
"2","Total No. of patients tested Positive","24132","784660"
"3","No. of patients discharged","23714","763988"
"4","Total Deaths reported","203","20508"
"5","Sample collected on the day","","5604"
"6","Test conducted on the day","","5554"
"7","Positive cases on the day","","24"
"8","Number of active Cases","","164"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117939"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211957"
"18","Frontline Workers vaccinated with 2nd dose on the day","","20"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019248"
"20","Above 45 Vaccinated with 1st dose on the day","","37"
"21","Total Above 45 Vaccinated with 1st dose","","8346528"
"22","Above 45 Vaccinated with 2nd dose on the day","","281"
"23","Total Above 45 Vaccinated with 2nd dose","","7651144"
"24","18-44 years age group Vaccinated with 1st dose on the day","","237"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12660879"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","851"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10694709"
"28","15-17 years age group Vaccinated with 1st dose on the day","","94"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114353"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","441"
"31","Total 15-17 years age group Vaccinated with 2nddose","","861229"
"32","12-14 years age group Vaccinated with 1st dose on the day","","512"
"33","Total 12-14 years age group Vaccinated with 1st dose","","676785"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1228"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","482590"
"36","Precautionary dose given on the day","","4066"
"37","Total Precautionary dose given","","1766280"
"38","Total Vaccination 1st dose on the day","","274"
"39","Total Vaccination 2nd dose on the day","","1156"
"40","Total Vaccination 1st and 2nd dose on the day","","1430"
