"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","611681","2","37779","0","410","1","37360","9"
"2","ALWAR","1216781","0","59695","0","307","0","59387","1"
"3","BANSWARA","221724","0","10005","0","104","0","9901","0"
"4","BARAN","154029","0","11996","0","61","0","11935","0"
"5","BARMER","325756","0","15568","0","185","0","15378","5"
"6","BHARATPUR","380629","0","19601","0","260","0","19341","0"
"7","BHILWARA","383579","0","29782","0","156","0","29625","1"
"8","BIKANER","588270","0","40347","0","545","0","39795","7"
"9","BUNDI","171297","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","353215","0","19809","0","139","0","19670","0"
"11","CHURU","311652","0","16720","0","107","0","16613","0"
"12","DAUSA","204799","0","13351","0","62","0","13289","0"
"13","DHOLPUR","221452","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","242712","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","327361","0","19355","0","150","0","19204","1"
"16","HANUMANGARH","365353","0","16053","0","111","0","15942","0"
"17","JAIPUR","2495839","12","187861","0","1970","2","185838","53"
"18","JAISALMER","202744","0","13639","0","66","0","13573","0"
"19","JALORE","369904","0","10067","0","72","0","9995","0"
"20","JHALAWAR","272988","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","362967","0","14811","0","158","0","14653","0"
"22","JODHPUR","1146405","0","112415","0","1103","0","111309","3"
"23","KARAULI","166745","0","7156","0","70","0","7086","0"
