"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 05.10.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","43","",""
"","","2","Total Discharges","4022243","",""
"","","3","Today's Tests Conducted","6546","",""
"","","4","Total Tests Conducted","69240733","",""
"","","5","Today’s New Cases Reported (04.10.2022, 00:00 to 23:59)","76","",""
"","","6","Total Active Cases","2770","",""
"","","7","Today's Deaths Reported","0","",""
"","","8","Total Covid Deaths","40244","",""
"","","9","Total Positive Cases","4065299","",""
"","","10","Positivity Rate for the day (04.10.2022, 00:00 to 23:59)","1.16%","",""
"","","11","*Weekly Total Positivity Rate","1.09%","",""
"","","12","Case Fatality Rate (CFR) for the day (04.10.2022, 00:00 to 23:59)","0.00","",""
"","","13","*Weekly Case Fatality Rate","0.56%","",""
"*From 29-09-2022   to 05-10-2022 
Particulars 
Today’s 
Cumulative 
4942* 
1584365 
A 
Total Passengers screened at Air ports 
          *Date: 04-10-2022 
 
Date: 05-10 -2022 
Page 1 of 6","","","","","",""
