"S. No","Subject","Number"
"1","Total Number of people vaccinated on 14th Jan","4,76,303"
"2","First Dose on 14th Jan","1,94,423"
"3","Second Dose on 14th Jan","2,42,043"
"4","Precaution Dose on 14th Jan","39,837"
"5","Cumulative Vaccination till 14th Jan","11,16,26,937"
"6","Cumulative Vaccination First Dose","6,74,60,283"
"7","Cumulative Vaccination Second Dose","4,40,03,840"
"8","Cumulative Precaution Dose","1,62,814"
"9","Number of CVC (Common Vaccination Centres)","4,536"
"10","Cumulative AEFI cases reported","6,586"
"11","Vaccine wastage","-7%"
