"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","16,300+112","15,792+21","102","406+91","13-Jan-22"
"2","Coochbehar","30,662+124","30,008+30","99","555+94","13-Jan-22"
"3","Darjeeling","61,926+596","58,850+136","557","2,519+460","13-Jan-22"
"4","Kalimpong","7,465+80","7,186+10","55","224+70","13-Jan-22"
"5","Jalpaiguri","44,413+216","42,633+68","597+1","1,183+147","13-Jan-22"
"6","Uttar Dinajpur","21,750+221","20,344+67","245+1","1,161+153","13-Jan-22"
"7","Dakshin Dinajpur","19,967+202","18,835+53","179","953+149","13-Jan-22"
"8","Malda","38,257+648","34,947+175","190","3,120+473","13-Jan-22"
"9","Murshidabad","38,004+390","35,012+160","332","2,660+230","13-Jan-22"
"10","Nadia","80,644+816","75,826+219","906+1","3,912+596","13-Jan-22"
"11","Birbhum","49,730+984","44,293+294","303+2","5,134+688","13-Jan-22"
"12","Purulia","21,967+226","20,187+102","114","1,666+124","13-Jan-22"
"13","Bankura","39,779+365","37,514+115","276","1,989+250","13-Jan-22"
"14","Jhargram","13,791+201","12,723+59","27","1,041+142","13-Jan-22"
"15","Paschim Medinipur","58,456+479","55,153+163","514","2,789+316","13-Jan-22"
"16","Purba Medinipur","65,612+246","63,818+81","406","1,388+165","13-Jan-22"
"17","Purba Bardhaman","49,076+767","44,423+260","213","4,440+507","13-Jan-22"
"18","Paschim Bardhaman","70,266+937","62,803+435","373+1","7,090+501","13-Jan-22"
"19","Howrah","1,18,776+1,223","1,07,005+635","1,576+3","10,195+585","13-Jan-22"
"20","Hooghly","1,00,892+1,394","92,148+445","1,055+2","7,689+947","13-Jan-22"
"21","North 24 Parganas","3,79,163+4,018","3,46,313+1,680","5,081+8","27,769+2,330","13-Jan-22"
"22","South 24 Parganas","1,16,728+1,533","1,06,875+488","1,421+2","8,432+1,043","13-Jan-22"
"23","Kolkata","4,20,007+6,867","3,65,450+2,991","5,389+7","49,168+3,869","13-Jan-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","18,63,697+22,645","16,98,201+8,687","20,013+28","1,45,483+13,930",""
