"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,990"
"2","Number of persons tested positive today in Tamil Nadu","463"
"3","Total Number of persons tested positive till date","35,71,030"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,717/ 
6,90,01,920@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,556/ 
6,77,87,580"
"6","No. of Male / Female / Transgender tested positive today","284/179/0"
"7","No. of Male / Female / Transgender tested positive till date","20,82,538/14,88,454/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","483/ 
35,28,004"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,036"
