"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,074"
"2","Number of persons tested positive today in Tamil Nadu","270"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","271"
"3","Total Number of persons tested positive till date","35,89,284"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","11,262/ 
6,96,37,538@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,158/ 
6,84,16,813"
"6","No. of Male / Female / Transgender tested positive today","159/112/0"
"7","No. of Male / Female / Transgender tested positive till date","20,92,849/14,96,397/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","312/ 
35,47,162"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
