"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24037","","5338","","29375",""
"2","Total Active Cases","11 
(0.05%)","","00 
(0%)","","11 
(0.04%)",""
"3","Total Cured/Discharged","23855 
(99.24%)","","5278 
(98.9%)","","29133 
(99.17%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","09","","00","","09",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","93","","06","","99",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","90","","06","","96",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","40 
00 
00 
00 
40"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(17/10/2022)","","Test Done Today 
(18/10/2022)","","Cumulative"
"","","a)RTPCR","340517","","66","","340583"
"","","b)TRUENAT","15502","","05","","15507"
"","","c)RAT","364047","","28","","364075"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721291","","99","","721390"
