"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","788454","2","49779","0","447","0","49301","31"
"2","ALWAR","1611222","6","84654","0","320","4","84289","45"
"3","BANSWARA","318494","1","14767","0","106","0","14659","2"
"4","BARAN","236796","0","15296","0","64","0","15206","26"
"5","BARMER","403755","0","21455","0","205","0","21249","1"
"6","BHARATPUR","476273","0","31451","0","272","0","31179","0"
"7","BHILWARA","507380","2","38186","0","162","0","38019","5"
"8","BIKANER","743891","5","49947","0","586","3","49343","18"
"9","BUNDI","234477","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452254","0","29389","0","140","0","29240","9"
"11","CHURU","434534","7","20850","0","114","0","20717","19"
"12","DAUSA","292256","1","15823","0","81","3","15729","13"
"13","DHOLPUR","285396","4","13958","0","49","0","13894","15"
"14","DUNGARPUR","327773","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422715","0","28150","0","158","0","27985","7"
"16","HANUMANGARH","488548","0","22518","0","114","0","22404","0"
"17","JAIPUR","3423398","33","276029","0","2113","0","273522","394"
"18","JAISALMER","242501","0","17036","0","68","0","16968","0"
"19","JALORE","445415","0","10548","0","78","0","10468","2"
"20","JHALAWAR","397267","1","17733","0","207","6","17521","5"
"21","JHUNJHUNU","492706","0","19158","0","181","0","18977","0"
"22","JODHPUR","1422535","5","141133","0","1164","5","139952","17"
"23","KARAULI","238618","0","8968","0","84","0","8884","0"
