"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,458"
"2","Number of persons tested positive today in Tamil Nadu","1,466"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-2 
UAE-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Kerala-2"
"","Passengers returned from other  countries  by Road 
tested positive today","Bangladesh-1"
"","Total","1,472"
"3","Total Number of persons tested positive till date","34,68,344"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","25,821/ 
6,70,44,064@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","25,591/ 
6,58,64,772"
"6","No. of Male / Female / Transgender tested positive today","778/694/0"
"7","No. of Male / Female / Transgender tested positive till date","20,23,456/14,44,850/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","691/ 
34,22,860"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
