"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,437"
"2","Number of persons tested positive today in Tamil Nadu","320"
"3","Total Number of persons tested positive till date","34,50,041"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","52,851/ 
6,45,04,659@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","52,536/ 
6,33,30,455"
"6","No. of Male / Female / Transgender tested positive today","184/136/0"
"7","No. of Male / Female / Transgender tested positive till date","20,13,663/14,36,340/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","946/ 
34,07,595"
"10","Total number of deaths today/ till date","3(2 Private &  
1 Govt) /38,009"
