"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1751096*","20741560*"
"2","Total No. of patients tested Positive","23991","784519"
"3","No. of patients discharged","23574","763848"
"4","Total Deaths reported","198","20503"
"5","Sample collected on the day","","5348"
"6","Test conducted on the day","","4966"
"7","Positive cases on the day","","20"
"8","Number of active Cases","","168"
"9","No. of Patients on oxygen support","","9"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218879"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117934"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211931"
"18","Frontline Workers vaccinated with 2nd dose on the day","","13"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019190"
"20","Above 45 Vaccinated with 1st dose on the day","","39"
"21","Total Above 45 Vaccinated with 1st dose","","8346287"
"22","Above 45 Vaccinated with 2nd dose on the day","","253"
"23","Total Above 45 Vaccinated with 2nd dose","","7649761"
"24","18-44 years age group Vaccinated with 1st dose on the day","","205"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12659796"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","763"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10689820"
"28","15-17 years age group Vaccinated with 1st dose on the day","","24"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114077"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","171"
"31","Total 15-17 years age group Vaccinated with 2nddose","","859775"
"32","12-14 years age group Vaccinated with 1st dose on the day","","301"
"33","Total 12-14 years age group Vaccinated with 1st dose","","675234"
"34","12-14 years age group Vaccinated with 2nddose on the day","","661"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","478293"
"36","Precautionary dose given on the day","","3622"
"37","Total Precautionary dose given","","1744634"
"38","Total Vaccination 1st dose on the day","","245"
"39","Total Vaccination 2nd dose on the day","","1031"
"40","Total Vaccination 1st and 2nd dose on the day","","1276"
