"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,632"
"2","Number of persons tested positive today in Tamil Nadu","331"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1"
"","Total","332"
"3","Total Number of persons tested positive till date","34,57,969"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","11,081/ 
6,68,09,204@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,030/ 
6,56,31,427"
"6","No. of Male / Female / Transgender tested positive today","194/138/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,965/14,39,966/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","153/ 
34,18,312"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
