"Total No. of Sample Taken Today","38192"
"Total No. of Positive Cases Detected Today (New Omicron Cases: 2)","126"
"Total Positive Cases under Home Isolation (27-12-2021)","444"
"Total No. of Samples Sent till date","14507591"
"Total No. of Samples found Positive till date 
Total Omicron Cases:14 
 (Active Omicron Cases – 07, Discharged Omicron Cases- 07)","772844 
(M: 472143 
F: 300684 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","762131"
"Total Active COVID-19 Patients","627"
"No. of Deaths","10063"
"Total No. of People Vaccinated today","344856 
(1st Dose: 105946, 
2nd Dose: 238910)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","19683456 (96%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","13680920 (66%)"
"Cumulative Coverage of Total COVID-19 Vaccination","33364376"
"COVID-19 Today (28-12-2021) Positivity Rate","0.44%"
"COVID-19 Cumulative Positivity Rate","5.34%"
"Recovery Rate","98.61%"
"Fatality Rate","1.30%"
"Tests Per Million Population","572292"
