"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18434","","3739","","22173",""
"2","Total Active Cases","152 
(0.82%)","","52 
(1.4%)","","204 
(0.92%)",""
"3","Total Cured/ Discharged","18121 
(98.3%)","","3629                                  
(97.1%)","","(98.1%)",""
"4","Total Died","161 
(0.87%)","","58 
(1.6%)","","219 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","87","","52","","139",""
"7","COVID Care Centre","34","","0","","34",""
"8","Facility Isolation","15","","0","","15",""
"9","No. of Samples Tested (Today)","699","","307","","1006",""
"10","No. of Samples Positive (Today)","15","","03","","18",""
"11","No. of Samples Negative (Today)","684","","304","","988",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","494 
           00 
       00 
            02 
          496"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(29/12/2021)","","Test Done Today 
(30/12/2021)","","Cumulative"
"","","a)  RTPCR","252278","","840","","253118"
"","","b)  TRUENAT","11237","","05","","11242"
"","","c)  RAT","338400","","161","","338561"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","602087","","1006","","603093"
