"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22962","","5280","","28242",""
"2","Total Active Cases","03 
(0.01%)","","02 
(0.04%)","","05 
(0.02%)",""
"3","Total Cured/Discharged","22791 
(99.3%)","","5218 
(98.8%)","","28009 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","01","","02","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","115","","08","","123",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","113","","08","","121",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","97 
00 
00 
05 
102"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(19/04/2022)","","Test Done Today 
(20/04/2022)","","Cumulative"
"","","a)RTPCR","318790","","88","","318878"
"","","b)TRUENAT","13387","","13","","13400"
"","","c)RAT","348013","","22","","348035"
"","","d)  CBNAAT","1079","","00","","1079"
"","","TOTAL","681269","","123","","681392"
