"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1630935","20621399"
"2","Total No. of patients tested Positive","23331","783859"
"3","No. of patients discharged","22592","762866"
"4","Total Deaths reported","179","20485"
"5","Sample collected on the day","","4717"
"6","Test conducted on the day","","4623"
"7","Positive cases on the day","","44"
"8","Number of active Cases","","508"
"9","No. of Patients on oxygen support","","27"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218867"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117901"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211880"
"18","Frontline Workers vaccinated with 2nd dose on the day","","21"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019013"
"20","Above 45 Vaccinated with 1st dose on the day","","70"
"21","Total Above 45 Vaccinated with 1st dose","","8345233"
"22","Above 45 Vaccinated with 2nd dose on the day","","478"
"23","Total Above 45 Vaccinated with 2nd dose","","7644552"
"24","18-44 years age group Vaccinated with 1st dose on the day","","254"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12655328"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1202"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10674670"
"28","15-17 years age group Vaccinated with 1st dose on the day","","109"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1112340"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","278"
"31","Total 15-17 years age group Vaccinated with 2nddose","","854676"
"32","12-14 years age group Vaccinated with 1st dose on the day","","222"
"33","Total 12-14 years age group Vaccinated with 1st dose","","669125"
"34","12-14 years age group Vaccinated with 2nddose on the day","","592"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","467472"
"36","Precautionary dose given on the day","","5997"
"37","Total Precautionary dose given","","1660244"
"38","Total Vaccination 1st dose on the day","","328"
"39","Total Vaccination 2nd dose on the day","","1706"
"40","Total Vaccination 1st and 2nd dose on the day","","2034"
