"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23917","","5337","","29254",""
"2","Total Active Cases","38 
(0.16%)","","03 
(0.06%)","","41 
(0.14%)",""
"3","Total Cured/Discharged","23709 
(99.13%)","","5274 
(98.8%)","","28983 
(99.1%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","25","","03","","28",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","08","","00","","08",""
"9","No. of Samples Tested (Today)","112","","65","","177",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","108","","65","","173",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
00 
07 
00 
49"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(05/09/2022)","","Test Done Today 
(06/09/2022)","","Cumulative"
"","","a)RTPCR","37254","","138","","37392"
"","","b)TRUENAT","14997","","11","","15008"
"","","c)RAT","362630","","28","","362658"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","716106","","177","","716283"
