"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"1","Mumbai","1118911","1096280","19625","3006"
"2","Thane","791537","777902","11935","1700"
"3","Palghar","166642","162931","3417","294"
"4","Raigad","251519","245970","4955","594"
"5","Ratnagiri","84959","82326","2549","84"
"6","Sindhudurg","57495","55906","1534","55"
"7","Pune","1476039","1449263","20554","6222"
"8","Satara","278948","271951","6720","277"
"9","Sangli","227507","221727","5666","114"
"10","Kolhapur","220781","214777","5907","97"
"11","Solapur","227808","221640","5885","283"
"12","Nashik","474703","465232","8914","557"
"13","Ahmednagar","378453","370907","7245","301"
"14","Jalgaon","149871","147036","2762","73"
"15","Nandurbar","46688","45699","963","26"
"16","Dhule","50978","50223","670","85"
"17","Aurangabad","177515","172821","4288","406"
