"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 14.10.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","133","",""
"","","2","Total Discharges","4023300","",""
"","","3","Today's Tests Conducted","10136","",""
"","","4","Total Tests Conducted","69307453","",""
"","","5","Today’s New Cases Reported (13.10.2022, 00:00 to 23:59)","185","",""
"","","6","Total Active Cases","2950","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40250","",""
"","","9","Total Positive Cases","4066542","",""
"","","10","Positivity Rate for the day (13.10.2022, 00:00 to 23:59)","1.82%","",""
"","","11","*Weekly Total Positivity Rate","1.97%","",""
"","","12","Case Fatality Rate (CFR) for the day (13.10.2022, 00:00 to 23:59)","0.54%","",""
"","","13","*Weekly Case Fatality Rate","0.44%","",""
"*From 08-10-2022 to 14-10-2022 
Particulars 
Today’s 
Cumulative 
5309* 
1636918 
A 
Total Passengers screened at Air ports 
          *Date: 13-10-2022 
 
Date: 14-10 -2022 
Page 1 of 7","","","","","",""
