"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24000","","5338","","29338",""
"2","Total Active Cases","15 
(0.06%)","","00 
(0%)","","15 
(0.05%)",""
"3","Total Cured/Discharged","23814 
(99.2%)","","5278 
(98.9%)","","29092 
(99.16%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","14","","00","","14",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","89","","11","","100",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","84","","11","","95",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","46 
00 
00 
00 
46"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(29/09/2022)","","Test Done Today 
(30/09/2022)","","Cumulative"
"","","a)RTPCR","39326","","70","","39396"
"","","b)TRUENAT","15293","","11","","15304"
"","","c)RAT","363534","","19","","363553"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","719378","","100","","719478"
