"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","786135","0","49743","0","447","2","49289","7"
"2","ALWAR","1604644","8","84557","0","320","7","84184","53"
"3","BANSWARA","316901","0","14765","0","106","0","14657","2"
"4","BARAN","234231","0","15251","0","64","0","15185","2"
"5","BARMER","402835","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476243","0","31451","0","272","0","31179","0"
"7","BHILWARA","506337","0","38181","0","162","1","38019","0"
"8","BIKANER","739627","3","49916","0","586","1","49323","7"
"9","BUNDI","233055","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","451330","0","29377","0","140","0","29237","0"
"11","CHURU","433709","1","20831","0","114","0","20705","12"
"12","DAUSA","290470","0","15793","0","80","3","15706","7"
"13","DHOLPUR","283197","2","13926","0","49","30","13846","31"
"14","DUNGARPUR","327635","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","422240","0","28142","0","158","0","27981","3"
"16","HANUMANGARH","487968","0","22518","0","114","1","22404","0"
"17","JAIPUR","3400044","15","275526","0","2112","45","273084","330"
"18","JAISALMER","242257","0","17036","0","68","0","16968","0"
"19","JALORE","444390","0","10546","0","78","0","10467","1"
"20","JHALAWAR","391895","0","17713","0","207","0","17502","4"
"21","JHUNJHUNU","491999","0","19158","0","181","0","18977","0"
"22","JODHPUR","1418015","2","141107","0","1164","0","139936","7"
"23","KARAULI","237587","0","8968","0","84","0","8884","0"
