"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","334"
"2","Number of persons tested positive today in Tamil Nadu","49"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-2 & Victoria-1"
"","Total","52"
"3","Total Number of persons tested positive till date","34,53,552"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,858/ 
6,60,55,191@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,849/ 
6,48,78,454"
"6","No. of Male / Female / Transgender tested positive today","33/19/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,527/14,37,987/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","28/ 
34,15,193"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
