"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","322699","19311560"
"2","Total No. of patients tested Positive","746","759832"
"3","No. of patients discharged","551","741801"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12712"
"6","Test conducted on the day","","8650"
"7","Positive cases on the day","","87"
"8","Number of active Cases","","280"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218561"
"14","Frontline Workers vaccinated with 1st dose on the day","","21"
"15","Total Frontline Workers vaccinated with 1st dose","","1117068"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","35"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209575"
"18","Frontline Workers vaccinated with 2nd dose on the day","","127"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010289"
"20","Above 45 Vaccinated with 1st dose on the day","","571"
"21","Total Above 45 Vaccinated with 1st dose","","8281559"
"22","Above 45 Vaccinated with 2nd dose on the day","","13246"
"23","Total Above 45 Vaccinated with 2nd dose","","7012410"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1755"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12468651"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","26906"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9363195"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2770"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1037349"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","6136"
"31","Total 15-17 years age group Vaccinated with 2nddose","","614290"
"32","12-14 years age group Vaccinated with 1st dose on the day","","8672"
"33","Total 12-14 years age group Vaccinated with 1st dose","","467370"
"34","12-14 years age group Vaccinated with 2nddose on the day","","12952"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","130191"
"36","Precautionary dose given on the day","","4221"
"37","Total Precautionary dose given","","557594"
"38","Total Vaccination 1st dose on the day","","2350"
"39","Total Vaccination 2nd dose on the day","","40314"
"40","Total Vaccination 1st and 2nd dose on the day","","42664"
