"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","100","109877","83","107572","1","2280","25"
"2","SAS Nagar","143","95834","97","94630","0","1148","56"
"3","Jalandhar","74","78348","60","76760","0","1578","10"
"4","Patiala","173","62207","46","60618","0","1458","131"
"5","Amritsar","32","59427","23","57731","0","1682","14"
"6","Bathinda","29","50899","19","49797","0","1088","14"
"7","Hoshiarpur","47","40885","56","39788","0","1096","1"
"8","Gurdaspur","10","26949","11","26084","1","865","0"
"9","Pathankot","28","24564","28","24061","0","495","8"
"10","Fazilka","11","23409","22","22861","0","545","3"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","21","22054","19","21471","1","583","0"
"13","Ropar","9","17947","5","17488","0","455","4"
"14","Ferozepur","7","17906","9","17369","0","537","0"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","19","16805","22","16463","0","338","4"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","17","13419","18","13006","0","409","4"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","2","10901","1","10506","0","394","1"
"22","Barnala","5","7503","8","7151","0","349","3"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","746","759832","551","741801","4","17751","280"
