"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","438","0","0","0","37"
"2","ALWAR","653","3","0","4","31"
"3","BANSWARA","28","0","0","1","0"
"4","BARAN","137","0","0","0","3"
"5","BARMER","48","0","0","0","0"
"6","BHARATPUR","19","1","0","0","1"
"7","BHILWARA","73","1","0","0","4"
"8","BIKANER","537","1","0","1","12"
"9","BUNDI","74","0","0","0","5"
"10","CHITTORGARH","188","1","0","0","10"
"11","CHURU","56","0","0","0","0"
"12","DAUSA","387","1","0","2","4"
"13","DHOLPUR","10","0","0","0","0"
"14","DUNGARPUR","120","1","0","0","2"
"15","GANGANAGAR","93","0","0","0","2"
"16","HANUMANGARH","178","0","0","0","0"
"17","JAIPUR","1279","8","0","9","65"
"18","JAISALMER","3","0","0","0","0"
"19","JALORE","112","0","0","0","1"
"20","JHALAWAR","48","1","0","0","1"
"21","JHUNJHUNU","267","0","0","0","0"
"22","JODHPUR","230","5","0","8","27"
"23","KARAULI","192","0","0","0","1"
"24","KOTA","828","4","0","13","33"
"25","NAGAUR","202","0","0","0","5"
"26","PALI","183","5","0","1","10"
