"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","770616","1","49695","0","446","7","49232","17"
"2","ALWAR","1550144","1","84413","0","320","6","84043","50"
"3","BANSWARA","303843","3","14734","0","106","1","14596","32"
"4","BARAN","223575","0","15238","0","64","5","15164","10"
"5","BARMER","397874","2","21451","0","205","4","21226","20"
"6","BHARATPUR","469921","3","31416","0","272","3","31123","21"
"7","BHILWARA","495984","1","38176","0","162","2","38004","10"
"8","BIKANER","717772","1","49870","1","585","7","49256","29"
"9","BUNDI","224663","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","445765","1","29362","0","140","3","29212","10"
"11","CHURU","417736","1","20800","0","114","20","20664","22"
"12","DAUSA","279463","0","15770","0","80","1","15689","1"
"13","DHOLPUR","272705","1","13747","0","49","3","13690","8"
"14","DUNGARPUR","325544","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","415997","1","28125","0","158","10","27935","32"
"16","HANUMANGARH","479291","6","22480","0","114","0","22313","53"
"17","JAIPUR","3266722","33","274023","0","2110","144","271365","548"
"18","JAISALMER","240341","0","17036","0","68","4","16965","3"
"19","JALORE","437600","1","10538","0","78","0","10450","10"
"20","JHALAWAR","366961","2","17702","0","207","0","17487","8"
"21","JHUNJHUNU","481225","0","19156","0","181","0","18966","9"
"22","JODHPUR","1380046","7","140934","0","1163","18","139693","78"
"23","KARAULI","231779","1","8964","0","84","0","8879","1"
