"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","607372","1","37770","0","410","1","37358","2"
"2","ALWAR","1208502","0","59694","0","307","0","59387","0"
"3","BANSWARA","219027","0","10005","0","104","0","9901","0"
"4","BARAN","151209","0","11996","0","61","0","11934","1"
"5","BARMER","324327","0","15564","0","185","0","15378","1"
"6","BHARATPUR","379484","0","19601","0","260","0","19341","0"
"7","BHILWARA","378583","0","29782","0","156","0","29625","1"
"8","BIKANER","585622","0","40347","0","545","0","39794","8"
"9","BUNDI","169614","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","351291","0","19809","0","139","0","19670","0"
"11","CHURU","308935","0","16720","0","107","0","16613","0"
"12","DAUSA","202654","0","13351","0","62","0","13289","0"
"13","DHOLPUR","220015","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","238720","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","325094","0","19355","0","150","1","19204","1"
"16","HANUMANGARH","361660","0","16053","0","111","0","15942","0"
"17","JAIPUR","2481143","8","187828","0","1970","4","185831","27"
"18","JAISALMER","201684","0","13639","0","66","0","13573","0"
"19","JALORE","368042","0","10067","0","72","0","9995","0"
"20","JHALAWAR","267894","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","359534","0","14811","0","158","0","14653","0"
"22","JODHPUR","1142523","0","112414","0","1103","0","111309","2"
"23","KARAULI","165292","0","7156","0","70","0","7086","0"
