"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"7","Pune","1456690","1434937","20545","1208"
"8","Satara","278245","271516","6715","14"
"9","Sangli","227098","221417","5666","15"
"10","Kolhapur","220505","214596","5904","5"
"11","Solapur","227093","221203","5879","11"
"12","Nashik","473038","464039","8911","88"
"13","Ahmednagar","377788","370506","7242","40"
"14","Jalgaon","149565","146792","2761","12"
"15","Nandurbar","46618","45655","962","1"
"16","Dhule","50779","50107","670","2"
"17","Aurangabad","176580","172278","4284","18"
"18","Jalna","66334","65109","1224","1"
"19","Beed","109224","106335","2885","4"
"20","Latur","104951","102428","2489","34"
"21","Parbhani","58576","57296","1279","1"
"22","Hingoli","22180","21665","514","1"
"23","Nanded","102687","99973","2704","10"
"24","Osmanabad","75174","73034","2139","1"
"25","Amravati","105977","104345","1624","8"
"26","Akola","66203","64714","1470","19"
"27","Washim","45663","45006","641","16"
"28","Buldhana","92037","91190","836","11"
"29","Yavatmal","81984","80163","1820","1"
"30","Nagpur","576718","567301","9215","202"
