"Total No. of Sample Taken Today","14794"
"Total No. of Positive Cases Detected Today","864"
"Total Active COVID-19 Patients","4950"
"Total No. of Active Cases under Home Isolation (13-08-2022)","4745"
"Total No. of Samples found Positive till date","1041778"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1026151"
"No. of Deaths","10654"
"Total No. of People Vaccinated Today","16156 
(1st Dose: 832 
2nd Dose: 3167 
Precaution Dose: 12157)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23633769 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19707633 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1600566"
"Cumulative Coverage of Total COVID-19 Vaccination","44941968"
"COVID-19 Today (13-08-2022) Positivity Rate","7.15%"
"Recovery Rate","98.50%"
"Fatality Rate","1.02%"
