"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","862"
"2","Number of persons tested positive today in Tamil Nadu","88"
"","Passengers returned from other countries / states  by Road 
tested positive today","Bhutan-1/ Kerala-1"
"","Total","90"
"3","Total Number of persons tested positive till date","34,56,173"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","11,187/ 
6,67,06,200@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,166/ 
6,55,28,765"
"6","No. of Male / Female / Transgender tested positive today","47/43/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,989/14,39,146/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","64/ 
34,17,286"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
