"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22498","","5248","","27746",""
"2","Total Active Cases","320 
(1.4%)","","85 
(1.6%)","","405 
(1.5%)",""
"3","Total Cured/ Discharged","22010 
(97.8%)","","5103                                  
(97.2%)","","(97.7%)",""
"4","Total Died","168 
(0.75%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","1","","21",""
"6","Total Positive cases in Home Isolation","191","","84","","275",""
"7","COVID Care Centre","109","","00","","109",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","1082","","266","","1348",""
"10","No. of Samples Positive (Today)","38","","13","","51",""
"11","No. of Samples Negative (Today)","1038","","253","","1291",""
"12","Repeat Positive/ Resampling (Today)","06","","00","","06",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","875 
        00 
        00 
        58 
       933"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(17/01/2022)","","Test Done Today 
(18/02/2022)","","Cumulative"
"","","a)  RTPCR","294097","","1207","","295304"
"","","b)  TRUENAT","12040","","24","","12064"
"","","c)  RAT","345724","","115","","345839"
"","","d)  CBNAAT","750","","02","","752"
"","","TOTAL","652611","","1348","","653959"
