"Total No. of Sample Taken Today","5838"
"Total No. of Positive Cases Detected Today","41"
"Total Active COVID-19 Patients","222"
"Total No. of Active Cases under Home Isolation (22-10-2022)","213"
"Total No. of Samples found Positive till date","1055849"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1044894"
"No. of Deaths","10710"
"Total No. of People Vaccinated Today","864 
(1st Dose: 57 
2nd Dose: 270 
Precaution Dose: 537)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23668364 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19816241 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1930960"
"Cumulative Coverage of Total COVID-19 Vaccination","45415565"
"COVID-19 Today (22-10-2022) Positivity Rate","0.71%"
"Recovery Rate","98.96%"
"Fatality Rate","1.01%"
