"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","674618","191","38465","0","410","6","37496","559"
"2","ALWAR","1341343","167","60462","1","308","25","59479","675"
"3","BANSWARA","261999","34","10079","0","104","0","9901","74"
"4","BARAN","184004","2","12006","0","61","0","11939","6"
"5","BARMER","348790","78","15715","0","186","0","15400","129"
"6","BHARATPUR","406227","144","19956","0","260","4","19354","342"
"7","BHILWARA","430183","55","30066","0","156","3","29652","258"
"8","BIKANER","627834","149","40922","0","546","4","39901","475"
"9","BUNDI","192537","13","7990","0","48","0","7919","23"
"10","CHITTORGARH","388646","83","20091","0","139","5","19677","275"
"11","CHURU","353789","2","16736","0","108","0","16616","12"
"12","DAUSA","231726","6","13377","0","62","1","13297","18"
"13","DHOLPUR","239439","23","11049","0","48","3","10967","34"
"14","DUNGARPUR","274747","14","18470","0","131","0","18281","58"
"15","GANGANAGAR","358303","1","19468","0","151","6","19226","91"
"16","HANUMANGARH","423562","15","16116","0","111","0","15970","35"
"17","JAIPUR","2734006","1866","196351","0","1974","97","186832","7545"
"18","JAISALMER","216809","20","13678","0","66","0","13585","27"
"19","JALORE","399843","0","10068","0","72","0","9996","0"
"20","JHALAWAR","319102","39","13674","0","187","0","13427","60"
"21","JHUNJHUNU","414782","1","14847","0","160","4","14673","14"
"22","JODHPUR","1217157","515","114361","1","1105","34","111498","1758"
"23","KARAULI","194315","0","7163","0","71","0","7086","6"
