"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,158"
"2","Number of persons tested positive today in Tamil Nadu","2,383"
"","Passengers returned from other countries  by 
International airport  tested positive today","Oman-1 
USA-1"
"","Total","2,385"
"3","Total Number of persons tested positive till date","34,77,570"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,960/ 
6,71,80,149@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,520/ 
6,59,99,349"
"6","No. of Male / Female / Transgender tested positive today","1,310/1,075/0"
"7","No. of Male / Female / Transgender tested positive till date","20,28,444/14,49,088/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,321/ 
34,27,386"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
