"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23720","","5319","","29039",""
"2","Total Active Cases","104 
(0.44%)","","08 
(0.15%)","","112 
(0.38%)",""
"3","Total Cured/Discharged","23448 
(98.85%)","","5251 
(98.7%)","","28699 
(98.8%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","00","","19",""
"6","Total Positive cases in Home Isolation","77","","08","","85",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","08","","00","","08",""
"9","No. of Samples Tested (Today)","135","","54","","189",""
"10","No. of Samples Positive (Today)","12","","00","","12",""
"11","No. of Samples Negative (Today)","123","","54","","177",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","54 
00 
05 
00 
59"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(09/08/2022)","","Test Done Today 
(10/08/2022)","","Cumulative"
"","","a)RTPCR","34146","","101","","34247"
"","","b)TRUENAT","14760","","05","","14765"
"","","c)RAT","357569","","79","","357648"
"","","d)  CBNAAT","1183","","04","","1187"
"","","TOTAL","707658","","189","","707847"
