"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","231"
"2","Number of persons tested positive today in Tamil Nadu","30"
"3","Total Number of persons tested positive till date","34,53,263"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,477/ 
6,59,36,928@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,469/ 
6,47,60,254"
"6","No. of Male / Female / Transgender tested positive today","16/14/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,366/14,37,859/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","24/ 
34,15,007"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
