"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,896"
"2","Number of persons tested positive today in Tamil Nadu","434"
"3","Total Number of persons tested positive till date","35,73,236"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,632/ 
6,90,91,126@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,480/ 
6,78,76,021"
"6","No. of Male / Female / Transgender tested positive today","247/187/0"
"7","No. of Male / Female / Transgender tested positive till date","20,83,819/14,89,379/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","456/ 
35,30,302"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,038"
