"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","525","8","0","2","32"
"2","ALWAR","1228","6","0","11","30"
"3","BANSWARA","180","0","0","0","6"
"4","BARAN","232","0","0","0","0"
"5","BARMER","35","0","0","0","0"
"6","BHARATPUR","44","0","0","0","1"
"7","BHILWARA","157","3","0","1","6"
"8","BIKANER","465","6","0","2","20"
"9","BUNDI","49","0","0","0","8"
"10","CHITTORGARH","211","3","0","7","21"
"11","CHURU","202","0","0","0","0"
"12","DAUSA","436","0","0","0","8"
"13","DHOLPUR","153","0","0","3","0"
"14","DUNGARPUR","93","0","0","1","9"
"15","GANGANAGAR","111","0","0","1","2"
"16","HANUMANGARH","198","0","0","1","1"
"17","JAIPUR","1403","7","0","13","95"
"18","JAISALMER","36","0","0","0","0"
"19","JALORE","65","0","0","1","1"
"20","JHALAWAR","330","0","0","0","2"
"21","JHUNJHUNU","319","0","0","0","0"
"22","JODHPUR","213","8","0","4","40"
"23","KARAULI","352","0","0","0","2"
"24","KOTA","950","6","0","3","56"
"25","NAGAUR","424","0","0","0","2"
"26","PALI","434","0","0","5","8"
