"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,845"
"2","Number of persons tested positive today in Tamil Nadu","363"
"","Passengers returned from other countries  by 
International airport tested positive today","Australia-3"
"","Total","366"
"3","Total Number of persons tested positive till date","35,86,584"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,414/ 
6,95,31,030@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,248/ 
6,83,11,461"
"6","No. of Male / Female / Transgender tested positive today","210/156/0"
"7","No. of Male / Female / Transgender tested positive till date","20,91,255/14,95,291/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","497/ 
35,43,691"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,048"
