"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","652493","2","37879","0","410","4","37444","25"
"2","ALWAR","1316949","0","59746","0","307","0","59435","4"
"3","BANSWARA","252786","0","10005","0","104","0","9901","0"
"4","BARAN","176093","0","12000","0","61","0","11939","0"
"5","BARMER","342005","0","15586","0","186","3","15397","3"
"6","BHARATPUR","393577","0","19605","0","260","0","19344","1"
"7","BHILWARA","414965","0","29799","0","156","2","29629","14"
"8","BIKANER","615705","4","40422","0","546","0","39854","22"
"9","BUNDI","186549","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","376187","0","19809","0","139","0","19670","0"
"11","CHURU","338338","0","16723","0","108","0","16615","0"
"12","DAUSA","222475","0","13356","0","62","0","13294","0"
"13","DHOLPUR","232032","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","261115","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","350443","4","19370","0","151","0","19208","11"
"16","HANUMANGARH","406684","0","16077","0","111","0","15964","2"
"17","JAIPUR","2638168","43","188360","0","1971","11","186184","205"
"18","JAISALMER","212280","0","13651","0","66","0","13580","5"
"19","JALORE","390097","0","10068","0","72","0","9996","0"
"20","JHALAWAR","307682","0","13613","0","187","0","13426","0"
"21","JHUNJHUNU","403287","0","14828","0","160","0","14661","7"
"22","JODHPUR","1190418","0","112453","0","1103","0","111337","13"
"23","KARAULI","183959","0","7156","0","70","0","7086","0"
