"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 10-06-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","228","",""
"","","2","Total Discharges","3912024","",""
"","","3","Today's Tests Conducted","22673","",""
"","","4","Total Tests Conducted","66555706","",""
"","","5","Today’s New Cases Reported (09.06.2022, 00:00 to 23:59)","525","",""
"","","6","Total Active Cases","3177","",""
"","","7","Today's Deaths Reported","0","",""
"","","8","Total Covid Deaths","40066","",""
"","","9","Total Positive Cases","3955309","",""
"","","10","Positivity Rate for the day (09.06.2022, 00:00 to 23:59)","2.31%","",""
"","","11","*Weekly Total Positivity Rate","1.77%","",""
"","","12","Case Fatality Rate (CFR) for the day (09.06.2022, 00:00 to 23:59)","0.00","",""
"","","13","*Weekly Case Fatality Rate","0.04%","",""
"*
     
   
From  04-06-2022 to 10-06-2022  
 
Particulars 
Today’s 
Cumulative 
9464* 
1035364 
A 
Total Passengers screened at Air ports 
          *Date: 08-06-2022 & 09-06-2022 
 
Date: 10-06-2022 
Page 1 of 7","","","","","",""
