"Total No. of Sample Taken Today","10855"
"Total No. of Positive Cases Detected Today","139"
"Total Active COVID-19 Patients","707"
"Total No. of Active Cases under Home Isolation (08-09-2022)","651"
"Total No. of Samples found Positive till date","1053432"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1042012"
"No. of Deaths","10690"
"Total No. of People Vaccinated Today","17928 
(1st Dose: 966 
2nd Dose: 4535 
Precaution Dose: 12427)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23653443 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19777418 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1816538"
"Cumulative Coverage of Total COVID-19 Vaccination","45247399"
"COVID-19 Today (08-09-2022) Positivity Rate","1.29%"
"Recovery Rate","98.92%"
"Fatality Rate","1.01%"
