"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22980","","5281","","28261",""
"2","Total Active Cases","05 
(0.02%)","","00 
(0%)","","05 
(0.02%)",""
"3","Total Cured/Discharged","22807 
(99.2%)","","5221 
(98.9%)","","28028 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","03","","00","","03",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","93","","36","","129",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","93","","36","","129",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","62 
15 
09 
03 
89"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(22/05/2022)","","Test Done Today 
(23/05/2022)","","Cumulative"
"","","a)RTPCR","321763","","97","","321860"
"","","b)TRUENAT","13958","","04","","13962"
"","","c)RAT","348997","","28","","349025"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","685823","","129","","685952"
