"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","395","5","0","0","43"
"2","ALWAR","926","5","0","1","23"
"3","BANSWARA","152","0","0","0","0"
"4","BARAN","238","1","0","0","4"
"5","BARMER","45","0","0","0","0"
"6","BHARATPUR","21","1","0","0","3"
"7","BHILWARA","97","0","0","1","1"
"8","BIKANER","439","1","0","1","8"
"9","BUNDI","106","1","0","0","3"
"10","CHITTORGARH","142","0","0","1","10"
"11","CHURU","117","0","0","0","0"
"12","DAUSA","393","0","0","1","1"
"13","DHOLPUR","119","0","0","0","0"
"14","DUNGARPUR","20","0","0","1","11"
"15","GANGANAGAR","77","1","0","0","2"
"16","HANUMANGARH","224","0","0","0","0"
"17","JAIPUR","1040","13","0","8","63"
"18","JAISALMER","27","0","0","0","0"
"19","JALORE","111","0","0","0","4"
"20","JHALAWAR","424","0","0","0","1"
"21","JHUNJHUNU","254","0","0","0","0"
"22","JODHPUR","146","5","0","2","28"
"23","KARAULI","311","0","0","0","0"
"24","KOTA","813","8","0","3","49"
"25","NAGAUR","305","0","0","0","0"
"26","PALI","337","0","0","5","9"
