"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23740","","5322","","29062",""
"2","Total Active Cases","96 
(0.40%)","","06 
(0.11%)","","102 
(0.35%)",""
"3","Total Cured/Discharged","23476 
(98.9%)","","5256 
(98.8%)","","28732 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","13","","00","","13",""
"6","Total Positive cases in Home Isolation","76","","06","","82",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","07","","00","","07",""
"9","No. of Samples Tested (Today)","141","","33","","174",""
"10","No. of Samples Positive (Today)","12","","00","","12",""
"11","No. of Samples Negative (Today)","129","","33","","162",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
00 
00 
51"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(11/08/2022)","","Test Done Today 
(12/08/2022)","","Cumulative"
"","","a)RTPCR","34345","","94","","34439"
"","","b)TRUENAT","14768","","13","","14781"
"","","c)RAT","357746","","62","","357808"
"","","d)  CBNAAT","1187","","05","","1192"
"","","TOTAL","708046","","174","","708220"
