"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","760919","18","49601","0","444","44","48955","202"
"2","ALWAR","1518194","10","84327","0","320","53","83866","141"
"3","BANSWARA","297151","30","14584","0","106","44","14264","214"
"4","BARAN","217608","14","15194","0","64","14","15048","82"
"5","BARMER","394101","2","21417","0","205","4","21165","47"
"6","BHARATPUR","463337","6","31360","0","272","12","31024","64"
"7","BHILWARA","488653","17","38107","0","161","17","37873","73"
"8","BIKANER","705725","21","49739","0","583","32","49012","144"
"9","BUNDI","221016","0","9715","0","55","0","9646","14"
"10","CHITTORGARH","442389","8","29329","0","140","23","29088","101"
"11","CHURU","409637","20","20699","0","114","25","20462","123"
"12","DAUSA","272805","0","15749","0","78","18","15645","26"
"13","DHOLPUR","269518","0","13723","0","49","26","13637","37"
"14","DUNGARPUR","323842","9","25483","0","134","9","25309","40"
"15","GANGANAGAR","409594","23","28027","0","158","95","27684","185"
"16","HANUMANGARH","473226","12","22382","0","114","12","22183","85"
"17","JAIPUR","3192343","201","272528","0","2108","503","268416","2004"
"18","JAISALMER","238730","0","17015","0","68","1","16819","128"
"19","JALORE","433923","0","10516","0","78","2","10425","13"
"20","JHALAWAR","358694","11","17641","0","207","15","17387","47"
"21","JHUNJHUNU","471607","21","19078","0","179","40","18714","185"
"22","JODHPUR","1360247","64","140633","0","1162","26","139344","127"
"23","KARAULI","227619","15","8935","0","84","23","8757","94"
