"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22988","","5281","","28269",""
"2","Total Active Cases","08 
(0.03%)","","00 
(0%)","","08 
(0.03%)",""
"3","Total Cured/Discharged","22812 
(99.2%)","","5221 
(98.9%)","","28033 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","04","","00","","04",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","101","","37","","138",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","99","","37","","136",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","59 
25 
21 
05 
110"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(01/06/2022)","","Test Done Today 
(02/06/2022)","","Cumulative"
"","","a)RTPCR","322863","","84","","322947"
"","","b)TRUENAT","14054","","12","","14066"
"","","c)RAT","349390","","42","","349432"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","687412","","138","","687550"
