"1","Total Samples taken","17654420"
"2","Sample collected on the day","42312"
"3","Test conducted on the day","39841"
"4","Total No. of patients tested Positive","728042"
"5","No. of patients discharged","670642"
"6","Positive cases on the day","5136"
"7","Number of active Cases","40319"
"8","Total Deaths reported","45645
17081"
"9","No. of Patients on oxygen support","1206"
"10","Patients at critical care Level-3 facilities","331"
"11","Patients who are critical and on ventilator support","92"
"12","Healthcare Workers vaccinated with 1st dose on the day","45"
"13","Total Healthcare Workers vaccinated with 1st dose","218536"
"14","Frontline Workers vaccinated with 1st dose on the day","20"
"15","Total Frontline Workers vaccinated with 1st dose","1115333"
"16","Healthcare Workers vaccinated with 2nd dose on the day","81"
"17","Total Healthcare Workers vaccinated with 2nd dose","185089"
"18","Frontline Workers vaccinated with 2nd dose on the day","205"
"19","Total Frontline Workers vaccinated with 2nd dose","879372"
"20","Above 45 Vaccinated with 1st dose on the day","23992"
"21","Total Above 45 Vaccinated with 1st dose","7246169"
"22","Above 45 Vaccinated with 2nd dose on the day","47470"
"23","Total Above 45 Vaccinated with 2nd dose","5146165"
"24","18-44 years age group Vaccinated with 1st dose on the day","75267"
"25","Total 18-44 years age group Vaccinated with 1st dose","10259144"
"26","18-44 years age group Vaccinated with 2nd dose on the day","107253"
"27","Total 18-44 years age group Vaccinated with 2nd dose","6241283"
"28","15-17 years age group Vaccinated with 1st dose on the day","24049"
"29","Total 15-17 years age group Vaccinated with 1st dose","327763"
"30","Precautionary dose given on the day","7771"
"31","Total Precautionary dose given","132937"
"32","Total Vaccination 1st dose on the day","123373"
"33","Total Vaccination 2nd dose on the day","155009"
"34","Total Vaccination 1st and 2nd dose on the day","278382"
